Category: All categories

Month,agronomia: (Brazil),zootecnia: (Brazil)
2004-01,95,46
2004-02,93,42
2004-03,100,59
2004-04,76,47
2004-05,72,57
2004-06,87,32
2004-07,100,40
2004-08,85,37
2004-09,91,57
2004-10,92,67
2004-11,85,36
2004-12,59,37
2005-01,83,54
2005-02,92,56
2005-03,83,56
2005-04,76,51
2005-05,70,40
2005-06,72,46
2005-07,74,46
2005-08,78,44
2005-09,70,37
2005-10,69,44
2005-11,70,40
2005-12,58,38
2006-01,76,37
2006-02,69,43
2006-03,63,36
2006-04,66,37
2006-05,60,30
2006-06,47,31
2006-07,51,29
2006-08,70,34
2006-09,44,36
2006-10,45,30
2006-11,51,33
2006-12,40,26
2007-01,41,28
2007-02,51,37
2007-03,46,34
2007-04,36,23
2007-05,42,28
2007-06,48,27
2007-07,48,25
2007-08,54,32
2007-09,46,28
2007-10,46,27
2007-11,46,29
2007-12,44,20
2008-01,43,26
2008-02,58,32
2008-03,49,31
2008-04,46,27
2008-05,43,27
2008-06,44,29
2008-07,44,21
2008-08,57,30
2008-09,53,28
2008-10,43,26
2008-11,47,24
2008-12,41,22
2009-01,41,24
2009-02,44,29
2009-03,51,28
2009-04,40,23
2009-05,42,24
2009-06,40,22
2009-07,39,21
2009-08,37,25
2009-09,44,26
2009-10,46,23
2009-11,38,23
2009-12,36,20
2010-01,42,24
2010-02,54,37
2010-03,45,25
2010-04,42,23
2010-05,39,27
2010-06,38,22
2010-07,39,21
2010-08,45,24
2010-09,41,22
2010-10,38,20
2010-11,38,25
2010-12,34,17
2011-01,47,31
2011-02,47,24
2011-03,41,21
2011-04,37,19
2011-05,35,21
2011-06,34,20
2011-07,33,19
2011-08,38,21
2011-09,34,20
2011-10,34,21
2011-11,32,18
2011-12,27,17
2012-01,41,32
2012-02,39,26
2012-03,41,27
2012-04,31,19
2012-05,33,19
2012-06,29,18
2012-07,27,14
2012-08,30,16
2012-09,29,14
2012-10,31,16
2012-11,28,16
2012-12,26,13
2013-01,43,28
2013-02,36,19
2013-03,33,18
2013-04,31,16
2013-05,29,16
2013-06,29,16
2013-07,29,13
2013-08,33,16
2013-09,32,14
2013-10,31,15
2013-11,32,14
2013-12,25,12
2014-01,47,31
2014-02,42,20
2014-03,36,16
2014-04,31,16
2014-05,32,16
2014-06,29,16
2014-07,29,15
2014-08,33,16
2014-09,31,14
2014-10,30,13
2014-11,34,15
2014-12,29,12
2015-01,49,29
2015-02,43,18
2015-03,44,18
2015-04,35,15
2015-05,35,16
2015-06,34,15
2015-07,31,14
2015-08,37,14
2015-09,34,14
2015-10,38,16
2015-11,34,14
2015-12,28,12
2016-01,50,27
2016-02,42,19
2016-03,40,17
2016-04,34,15
2016-05,36,17
2016-06,35,14
2016-07,32,12
2016-08,33,13
2016-09,34,13
2016-10,34,14
2016-11,34,13
2016-12,28,11
2017-01,48,28
2017-02,46,19
2017-03,41,17
2017-04,35,12
2017-05,36,17
2017-06,34,15
2017-07,31,12
2017-08,35,14
2017-09,34,13
2017-10,35,13
2017-11,35,13
2017-12,29,12
2018-01,50,24
2018-02,47,18
2018-03,40,16
2018-04,36,14
2018-05,34,14
2018-06,33,12
2018-07,31,12
2018-08,36,13
2018-09,32,12
2018-10,32,10
2018-11,32,12
2018-12,29,10
2019-01,47,25
2019-02,47,18
2019-03,39,14
2019-04,34,12
2019-05,36,13
2019-06,33,12
2019-07,31,12
2019-08,38,14
2019-09,32,11
2019-10,32,11
2019-11,34,11
2019-12,27,10
2020-01,43,25
2020-02,42,18
2020-03,31,14
2020-04,23,8
2020-05,23,10
2020-06,24,8
2020-07,26,9
2020-08,25,10
2020-09,24,9
2020-10,23,8
2020-11,25,7
2020-12,23,7
2021-01,34,11
2021-02,33,10
2021-03,32,11
2021-04,39,20
2021-05,27,11
2021-06,30,9
2021-07,28,9
2021-08,30,10
2021-09,28,9
2021-10,27,9
2021-11,31,9
2021-12,26,8
2022-01,38,13
2022-02,57,29
2022-03,42,19
2022-04,37,15
2022-05,42,15
2022-06,34,21
2022-07,33,14
2022-08,39,14
2022-09,36,12
2022-10,34,10
2022-11,33,12
2022-12,32,10
2023-01,40,13
2023-02,54,26
2023-03,46,20
2023-04,39,14
2023-05,39,15
2023-06,40,14
2023-07,35,12
